#,Player,GS,MIN,FG MADE,FG_ATT,FG%,3PT MADE,3PT_ATT,3PT%,FT MADE,FT_ATT,FT%,PTS,ORB,DRB,REB,STL,BLK,A,TO,PF,Opponent,Date
20,Morgan Baird,*,21,5,12,0.4166666666666667,1,2,0.5,2,2,1.0,13,4,3,7,0,0,2,0,1,Evergreen (WA),2025-01-03
10,Bridgette McIntyre,*,26,4,7,0.5714285714285714,4,7,0.5714285714285714,0,0,0.0,12,0,3,3,1,0,1,2,0,Evergreen (WA),2025-01-03
12,Emma Schmerbach,*,25,4,11,0.36363636363636365,1,1,1.0,3,3,1.0,12,1,5,6,0,2,8,3,0,Evergreen (WA),2025-01-03
1,Meghan McIntyre,*,27,4,8,0.5,1,3,0.3333333333333333,0,1,0.0,9,0,5,5,1,0,3,2,1,Evergreen (WA),2025-01-03
23,Clara Robbins,*,13,3,4,0.75,0,0,0.0,0,0,0.0,6,2,7,9,0,1,0,0,1,Evergreen (WA),2025-01-03
34,Shakia Teague-Perry,-,6,5,6,0.8333333333333334,0,0,0.0,0,0,0.0,10,1,0,1,1,0,0,0,0,Evergreen (WA),2025-01-03
32,Eliza DiGiulio,-,14,3,5,0.6,1,1,1.0,2,2,1.0,9,2,0,2,0,0,0,1,0,Evergreen (WA),2025-01-03
13,Keeley Wright,-,14,2,5,0.4,1,2,0.5,0,0,0.0,5,0,4,4,0,0,2,1,1,Evergreen (WA),2025-01-03
21,Jenika Zurita,-,11,2,4,0.5,1,3,0.3333333333333333,0,0,0.0,5,0,2,2,1,0,3,1,0,Evergreen (WA),2025-01-03
22,Sierra Scheppele,-,18,0,4,0.0,0,4,0.0,1,2,0.5,1,0,1,1,1,0,2,0,1,Evergreen (WA),2025-01-03
5,Makayla Scurlock,-,13,0,0,0.0,0,0,0.0,0,0,0.0,0,0,7,7,1,0,2,0,1,Evergreen (WA),2025-01-03
33,Mallory Williams,-,10,0,2,0.0,0,1,0.0,0,0,0.0,0,0,2,2,0,0,0,1,0,Evergreen (WA),2025-01-03
24,Ali Stevens,-,2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,Evergreen (WA),2025-01-03
20,Morgan Baird,*,24,6,9,0.6666666666666666,0,0,0.0,4,4,1.0,16,4,3,7,0,1,1,1,0,College of Idaho,2025-03-01
10,Bridgette McIntyre,*,32,4,7,0.5714285714285714,3,4,0.75,0,0,0.0,11,0,5,5,0,0,4,3,1,College of Idaho,2025-03-01
1,Meghan McIntyre,*,31,4,13,0.3076923076923077,0,3,0.0,0,0,0.0,8,4,6,10,0,0,3,4,2,College of Idaho,2025-03-01
12,Emma Schmerbach,*,24,3,12,0.25,0,2,0.0,0,0,0.0,6,1,9,10,2,0,3,1,3,College of Idaho,2025-03-01
23,Clara Robbins,*,17,1,3,0.3333333333333333,0,0,0.0,0,0,0.0,2,0,3,3,2,0,1,0,0,College of Idaho,2025-03-01
22,Sierra Scheppele,-,24,3,6,0.5,2,5,0.4,0,0,0.0,8,0,1,1,0,0,0,0,2,College of Idaho,2025-03-01
32,Eliza DiGiulio,-,19,1,7,0.14285714285714285,0,1,0.0,4,6,0.6666666666666666,6,1,2,3,0,0,1,2,0,College of Idaho,2025-03-01
13,Keeley Wright,-,9,2,3,0.6666666666666666,0,0,0.0,0,0,0.0,4,2,1,3,1,0,1,0,0,College of Idaho,2025-03-01
33,Mallory Williams,-,10,1,1,1.0,1,1,1.0,0,0,0.0,3,0,3,3,0,0,0,0,0,College of Idaho,2025-03-01
5,Makayla Scurlock,-,10,1,2,0.5,0,1,0.0,0,0,0.0,2,2,2,4,1,1,1,1,2,College of Idaho,2025-03-01
23,Clara Robbins,*,25,9,11,0.8181818181818182,0,0,0.0,0,0,0.0,18,3,4,7,2,0,1,1,3,Lewis-Clark State,2025-01-17
10,Bridgette McIntyre,*,32,5,8,0.625,4,7,0.5714285714285714,2,3,0.6666666666666666,16,0,2,2,1,0,0,2,1,Lewis-Clark State,2025-01-17
1,Meghan McIntyre,*,36,4,8,0.5,1,1,1.0,4,8,0.5,13,1,2,3,3,0,10,5,2,Lewis-Clark State,2025-01-17
20,Morgan Baird,*,31,5,12,0.4166666666666667,2,2,1.0,1,1,1.0,13,0,2,2,1,1,10,2,0,Lewis-Clark State,2025-01-17
12,Emma Schmerbach,*,30,3,10,0.3,0,1,0.0,2,2,1.0,8,4,2,6,4,0,2,3,4,Lewis-Clark State,2025-01-17
32,Eliza DiGiulio,-,14,6,7,0.8571428571428571,2,3,0.6666666666666666,2,2,1.0,16,2,2,4,0,0,0,2,1,Lewis-Clark State,2025-01-17
22,Sierra Scheppele,-,13,1,1,1.0,1,1,1.0,0,0,0.0,3,0,0,0,1,0,0,0,1,Lewis-Clark State,2025-01-17
13,Keeley Wright,-,4,1,2,0.5,0,0,0.0,0,1,0.0,2,0,1,1,0,0,0,2,3,Lewis-Clark State,2025-01-17
5,Makayla Scurlock,-,12,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2,2,0,0,2,0,1,Lewis-Clark State,2025-01-17
33,Mallory Williams,-,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,Lewis-Clark State,2025-01-17
10,Bridgette McIntyre,*,32,4,11,0.36363636363636365,2,8,0.25,5,6,0.8333333333333334,15,0,2,2,0,0,1,1,1,Lewis-Clark State,2025-03-04
12,Emma Schmerbach,*,29,4,13,0.3076923076923077,0,2,0.0,0,0,0.0,8,2,4,6,2,3,0,2,3,Lewis-Clark State,2025-03-04
1,Meghan McIntyre,*,32,2,8,0.25,0,2,0.0,0,0,0.0,4,2,2,4,1,0,5,2,0,Lewis-Clark State,2025-03-04
20,Morgan Baird,*,20,2,8,0.25,0,1,0.0,0,0,0.0,4,4,4,8,1,0,2,4,4,Lewis-Clark State,2025-03-04
23,Clara Robbins,*,14,0,1,0.0,0,0,0.0,0,0,0.0,0,1,2,3,1,1,0,0,1,Lewis-Clark State,2025-03-04
33,Mallory Williams,-,24,4,6,0.6666666666666666,4,6,0.6666666666666666,0,0,0.0,12,1,4,5,0,0,1,1,1,Lewis-Clark State,2025-03-04
22,Sierra Scheppele,-,19,2,4,0.5,0,1,0.0,1,1,1.0,5,0,0,0,0,0,1,0,2,Lewis-Clark State,2025-03-04
13,Keeley Wright,-,8,1,2,0.5,0,0,0.0,2,3,0.6666666666666666,4,0,0,0,0,0,1,0,0,Lewis-Clark State,2025-03-04
32,Eliza DiGiulio,-,14,1,4,0.25,0,1,0.0,0,0,0.0,2,0,1,1,2,0,1,4,0,Lewis-Clark State,2025-03-04
5,Makayla Scurlock,-,8,1,4,0.25,0,0,0.0,0,0,0.0,2,0,3,3,2,0,2,0,0,Lewis-Clark State,2025-03-04
20,Morgan Baird,*,16,7,14,0.5,1,2,0.5,8,8,1.0,23,1,3,4,0,0,0,1,0,Xavier (LA),2025-03-20
10,Bridgette Mcintyre,*,32,5,10,0.5,4,7,0.5714285714285714,0,0,0.0,14,1,3,4,3,0,2,1,0,Xavier (LA),2025-03-20
12,Emma Schmerbach,*,30,4,12,0.3333333333333333,0,1,0.0,6,6,1.0,14,1,1,2,0,0,0,2,3,Xavier (LA),2025-03-20
1,Meghan Mcintyre,*,34,2,11,0.18181818181818182,0,0,0.0,1,4,0.25,5,1,4,5,2,0,8,4,3,Xavier (LA),2025-03-20
23,Clara Robbins,*,23,0,5,0.0,0,0,0.0,0,0,0.0,0,0,5,5,1,0,0,0,3,Xavier (LA),2025-03-20
22,Sierra Scheppele,-,25,2,4,0.5,2,3,0.6666666666666666,0,0,0.0,6,0,1,1,2,0,0,2,0,Xavier (LA),2025-03-20
32,Eliza Digiulio,-,11,1,2,0.5,0,0,0.0,2,2,1.0,4,1,2,3,1,0,1,0,2,Xavier (LA),2025-03-20
13,Keeley Wright,-,9,0,1,0.0,0,0,0.0,1,2,0.5,1,1,4,5,0,0,1,0,1,Xavier (LA),2025-03-20
5,Makayla Scurlock,-,14,0,1,0.0,0,0,0.0,0,0,0.0,0,0,1,1,0,0,0,0,1,Xavier (LA),2025-03-20
33,Mallory Williams,-,6,0,1,0.0,0,1,0.0,0,0,0.0,0,0,2,2,0,0,0,0,0,Xavier (LA),2025-03-20
1,Meghan McIntyre,*,32,7,14,0.5,1,2,0.5,0,1,0.0,15,1,1,2,2,0,6,3,4,Bethel (TN),2025-03-22
12,Emma Schmerbach,*,23,5,9,0.5555555555555556,0,1,0.0,1,4,0.25,11,0,2,2,2,0,1,0,5,Bethel (TN),2025-03-22
10,Bridgette McIntyre,*,32,4,12,0.3333333333333333,2,8,0.25,0,0,0.0,10,1,4,5,1,0,3,0,1,Bethel (TN),2025-03-22
20,Morgan Baird,*,15,5,8,0.625,0,1,0.0,0,0,0.0,10,4,3,7,2,0,2,0,2,Bethel (TN),2025-03-22
23,Clara Robbins,*,25,1,6,0.16666666666666666,0,0,0.0,0,0,0.0,2,3,4,7,1,2,0,1,4,Bethel (TN),2025-03-22
