#,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Opponent,Date
20,Morgan Baird,*,21,5-12,1-2,2-2,4-3,7,1,2,0,0,0,13,Evergreen (WA),01/03/25
10,Bridgette McIntyre,*,26,4-7,4-7,0-0,0-3,3,0,1,2,0,1,12,Evergreen (WA),01/03/25
12,Emma Schmerbach,*,25,4-11,1-1,3-3,1-5,6,0,8,3,2,0,12,Evergreen (WA),01/03/25
1,Meghan McIntyre,*,27,4-8,1-3,0-1,0-5,5,1,3,2,0,1,9,Evergreen (WA),01/03/25
23,Clara Robbins,*,13,3-4,0-0,0-0,2-7,9,1,0,0,1,0,6,Evergreen (WA),01/03/25
34,Shakia Teague-Perry,-,6,5-6,0-0,0-0,1-0,1,0,0,0,0,1,10,Evergreen (WA),01/03/25
32,Eliza DiGiulio,-,14,3-5,1-1,2-2,2-0,2,0,0,1,0,0,9,Evergreen (WA),01/03/25
13,Keeley Wright,-,14,2-5,1-2,0-0,0-4,4,1,2,1,0,0,5,Evergreen (WA),01/03/25
21,Jenika Zurita,-,11,2-4,1-3,0-0,0-2,2,0,3,1,0,1,5,Evergreen (WA),01/03/25
22,Sierra Scheppele,-,18,0-4,0-4,1-2,0-1,1,1,2,0,0,1,1,Evergreen (WA),01/03/25
5,Makayla Scurlock,-,13,0-0,0-0,0-0,0-7,7,1,2,0,0,1,0,Evergreen (WA),01/03/25
33,Mallory Williams,-,10,0-2,0-1,0-0,0-2,2,0,0,1,0,0,0,Evergreen (WA),01/03/25
24,Ali Stevens,-,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Evergreen (WA),01/03/25
20,Morgan Baird,*,24,6-9,0-0,4-4,4-3,7,0,1,1,1,0,16,College of Idaho,03/01/25
10,Bridgette McIntyre,*,32,4-7,3-4,0-0,0-5,5,1,4,3,0,0,11,College of Idaho,03/01/25
1,Meghan McIntyre,*,31,4-13,0-3,0-0,4-6,10,2,3,4,0,0,8,College of Idaho,03/01/25
12,Emma Schmerbach,*,24,3-12,0-2,0-0,1-9,10,3,3,1,0,2,6,College of Idaho,03/01/25
23,Clara Robbins,*,17,1-3,0-0,0-0,0-3,3,0,1,0,0,2,2,College of Idaho,03/01/25
22,Sierra Scheppele,-,24,3-6,2-5,0-0,0-1,1,2,0,0,0,0,8,College of Idaho,03/01/25
32,Eliza DiGiulio,-,19,1-7,0-1,4-6,1-2,3,0,1,2,0,0,6,College of Idaho,03/01/25
13,Keeley Wright,-,9,2-3,0-0,0-0,2-1,3,0,1,0,0,1,4,College of Idaho,03/01/25
33,Mallory Williams,-,10,1-1,1-1,0-0,0-3,3,0,0,0,0,0,3,College of Idaho,03/01/25
5,Makayla Scurlock,-,10,1-2,0-1,0-0,2-2,4,2,1,1,1,1,2,College of Idaho,03/01/25
23,Clara Robbins,*,25,9-11,0-0,0-0,3-4,7,3,1,1,0,2,18,Lewis-Clark State,01/17/25
10,Bridgette McIntyre,*,32,5-8,4-7,2-3,0-2,2,1,0,2,0,1,16,Lewis-Clark State,01/17/25
1,Meghan McIntyre,*,36,4-8,1-1,4-8,1-2,3,2,10,5,0,3,13,Lewis-Clark State,01/17/25
20,Morgan Baird,*,31,5-12,2-2,1-1,0-2,2,0,10,2,1,1,13,Lewis-Clark State,01/17/25
12,Emma Schmerbach,*,30,3-10,0-1,2-2,4-2,6,4,2,3,0,4,8,Lewis-Clark State,01/17/25
32,Eliza DiGiulio,-,14,6-7,2-3,2-2,2-2,4,1,0,2,0,0,16,Lewis-Clark State,01/17/25
22,Sierra Scheppele,-,13,1-1,1-1,0-0,0-0,0,1,0,0,0,1,3,Lewis-Clark State,01/17/25
